id;prodotto_id;nome_prodotto;prezzo_unitario;quantita;prezzo_totale;aliquota_iva;ordine_id
1;6576b921-eb03-4b34-8377-93a5355b85dc;above crocodile;4278.17;20934;12414.41;17690.74;1
2;0c2e8d3a-018e-4cc6-9a68-e14971b37b25;beyond nougat sunder;10731.82;29409;27716.72;35.73;2
3;4689d9a1-78af-44dc-8ff2-5a75a5cc2534;abseil stigmatize successfully;17996.44;18802;26745.27;16248.25;3
4;381685c4-46ab-4cf4-993c-74864aa17023;thump or upward;29111.45;13666;20307.88;11783.29;4
5;9a9429ff-2635-4220-80eb-24ad9b225336;whopping sure-footed;21486.14;31960;4296.86;18444.63;5
6;1d5190ee-4794-448b-8e7e-a3b6ce2bdb59;snowplow guest;27108.87;655;10195.77;31404.97;6
7;7d07c8f6-de5a-466c-b5e7-29c74cc5855e;scratch redound;21102.33;22975;18070.46;3883.84;7
8;23c5393c-575a-4567-bc0c-9e65d61f7445;as aftermath;23127.16;4601;16938.94;20403.59;8
9;3038165e-eb9e-4bbc-9ccc-08a683c14eed;bandwidth;10481.11;4716;15850.85;20741.45;9
10;8792dab3-327f-455a-bd3e-b73c523c723f;ecliptic;2271.8;24545;22482.19;12399.57;10
