id;ordine_id;metodo_pagamento;importo;stato;transazione_id;data_operazione
1;a8574c79-c8a7-4851-8c69-5516aca0dc8d;CARTA_CREDITO;17304.6;APPROVATO;dilate;2026-03-18T03:11:30
2;4117b035-0f80-4598-b5a2-0907cd4ece45;PAYPAL;12849.37;APPROVATO;woot plait;2026-03-18T06:52:57
3;8920f817-b9b6-4de1-889e-b6465c8fb466;PAYPAL;19225.13;RIFIUTATO;godparent;2026-03-17T17:48:01
4;f7a7e529-d13e-4fe2-9a65-0d3a49fa8b0c;CARTA_DEBITO;9508.98;APPROVATO;likewise hmph gracefully;2026-03-17T11:18:13
5;844f9769-0035-4e31-a9c1-181f5dc0f587;CARTA_CREDITO;16823.7;RIMBORSATO;yahoo modulo soup;2026-03-17T13:16:57
6;8a533bb6-2278-4f9f-910d-eb5983754e75;PAYPAL;6008.74;IN_ATTESA;pave ick;2026-03-17T13:35:40
7;d751e5f3-2cfd-4651-a817-851c648b94df;CARTA_CREDITO;31232.94;RIMBORSATO;seriously unnecessarily cleverly;2026-03-18T05:25:02
8;9a20f556-f2a6-4bec-b856-afb311249910;PAYPAL;29167.31;RIFIUTATO;broadcast fortunately;2026-03-17T12:14:29
9;06b0057f-8bfc-4ca5-bab6-b9989f8a06f3;CARTA_DEBITO;26631.58;RIFIUTATO;debit freely;2026-03-18T06:29:34
10;84f82b82-afc5-4435-afc2-0124f5d77757;CARTA_CREDITO;11512.51;APPROVATO;incomparable grok inside;2026-03-18T05:16:11
